vsn,trim_id,vehicle_year,make,vehicle_model,trim_name
XXRC*V******,253913,2013,Volkswagen,GTI,2-Door Autobahn DSG
XZTE*V******,253913,2013,Volkswagen,GTI,2-Door Autobahn DSG
WYTE*V******,253911,2013,Volkswagen,GTI,2-Door Autobahn Manual
WWRC*V******,253911,2013,Volkswagen,GTI,2-Door Autobahn Manual
XZTE*V******,253901,2013,Volkswagen,GTI,2-Door DSG
XXRC*V******,253901,2013,Volkswagen,GTI,2-Door DSG
WWRC*V******,253899,2013,Volkswagen,GTI,2-Door Manual
WYTE*V******,253899,2013,Volkswagen,GTI,2-Door Manual
WWRC*V******,253903,2013,Volkswagen,GTI,2-Door with Convenience and Sunroof Manual
XZTE*V******,253905,2013,Volkswagen,GTI,2-Door with Convenience and Sunroof DSG
XXRC*V****3*,253905,2013,Volkswagen,GTI,2-Door with Convenience and Sunroof DSG
XXRC*V*12***,253905,2013,Volkswagen,GTI,2-Door with Convenience and Sunroof DSG
XXRC*V******,253909,2013,Volkswagen,GTI,2-Door with Sunroof and Navigation DSG
XZTE*V******,253909,2013,Volkswagen,GTI,2-Door with Sunroof and Navigation DSG
WWRC*V******,253907,2013,Volkswagen,GTI,2-Door with Sunroof and Navigation Manual
WYTE*V******,253907,2013,Volkswagen,GTI,2-Door with Sunroof and Navigation Manual
ZZRC*V***4**,253929,2013,Volkswagen,GTI,4-Door Autobahn DSG
ZJTE*V******,253929,2013,Volkswagen,GTI,4-Door Autobahn DSG
YYRC*V******,253927,2013,Volkswagen,GTI,4-Door Autobahn Manual
YGTE*V******,253927,2013,Volkswagen,GTI,4-Door Autobahn Manual
ZJTE*V******,253917,2013,Volkswagen,GTI,4-Door DSG
ZZRC*V******,253917,2013,Volkswagen,GTI,4-Door DSG
YGTE*V******,253915,2013,Volkswagen,GTI,4-Door Manual
YYRC*V******,253915,2013,Volkswagen,GTI,4-Door Manual
ZJTE*V******,253921,2013,Volkswagen,GTI,4-Door with Convenience and Sunroof DSG
ZZRC*V******,253921,2013,Volkswagen,GTI,4-Door with Convenience and Sunroof DSG
WYTE*V******,253903,2013,Volkswagen,GTI,2-Door with Convenience and Sunroof Manual
YGTE*V******,253919,2013,Volkswagen,GTI,4-Door with Convenience and Sunroof Manual
YYRC*V******,253919,2013,Volkswagen,GTI,4-Door with Convenience and Sunroof Manual
ZJTE*V******,253925,2013,Volkswagen,GTI,4-Door with Sunroof and Navigation DSG
ZZRC*V******,253925,2013,Volkswagen,GTI,4-Door with Sunroof and Navigation DSG
ZJTE*V000000,253923,2013,Volkswagen,GTI,4-Door with Sunroof and Navigation Manual
YGTE*V******,253923,2013,Volkswagen,GTI,4-Door with Sunroof and Navigation Manual
YYRC*V******,253923,2013,Volkswagen,GTI,4-Door with Sunroof and Navigation Manual
ZJTE*V******,259175,2013,Volkswagen,GTI,Driver's Edition DSG
ZZRC*V******,259175,2013,Volkswagen,GTI,Driver's Edition DSG
YGTE*V******,259173,2013,Volkswagen,GTI,Driver's Edition Manual
YYRC*V******,259173,2013,Volkswagen,GTI,Driver's Edition Manual
ZZRC*V***44*,258328,2013,Volkswagen,GTI,Wolfsburg Edition DSG
ZZRC*V******,258326,2013,Volkswagen,GTI,Wolfsburg Edition Manual
